AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	-0.030802
AGID00111	913	sc-23957	Old	1433EPSILON	0.22584
AGID00101	883	sc-1019	Old	1433ZETA	0.038356
AGID00001	2	9452	Old	4EBP1	0.31273
AGID00002	3	9456	Old	4EBP1_pS65	-0.45164
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.198
AGID00443	8	9455	Old	4EBP1_pT70	-0.26213
AGID00120	985	4937	Old	53BP1	0.093712
AGID00004	13	3661	Old	ACC_pS79	0.55881
AGID00005	14	1768-1/ab45174	Old	ACC1	0.58741
AGID00408	2372	3658	Set163	AceCS1	0.235384
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.44057
AGID00404	2367	9189	Set163	ACSL1	-0.3342356
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.081373
AGID00186	1198	ab88574	Old	ADAR1	-0.27068
AGID00146	1084	4691	Old	AKT	0.19981
AGID00028	230	9271	Old	AKT_pS473	-0.70682
AGID00170	1154	2965	Old	AKT_pT308	-0.70169
AGID00316	1800	3063	Set163	Akt2	-0.2374405
AGID00347	2009	8599	Set163	Akt2_pS474	-0.1384661
AGID02215	2577	ab195377	Set163	ALKBH5	0.2340493
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set163	Ambra1_pS52	-0.07120138
AGID00236	1351	ab129081	Set163	AMPK-a2_pS345	-0.1015106
AGID00006	39	2532	Old	AMPKALPHA	-0.39177
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.048894
AGID00193	1208	610066	Old	ANNEXIN1	-0.2439
AGID00166	1142	610668	Old	ANNEXINVII	0.32337
AGID00371	756	1852-1/ab52615	Old	AR	0.38218
AGID00194	1217	4432	Old	ARAF	0.32839
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.064526
AGID00260	1053	sc-32761	Old	ARID1A	0.27507
AGID00264	1560	HPA029318	Old	ASNS	-0.1065
AGID00276	1612	3415	Set163	Atg3	0.0600844
AGID00309	1775	13507	Set163	Atg4B	0.06637395
AGID00310	1776	12994	Set163	Atg5	0.1517344
AGID00277	1613	8558	Set163	Atg7	0.1293445
AGID00242	1363	2873	Old	ATM	0.11883
AGID02142	2447	13050	Set163	ATM_pS1981	-0.03132068
AGID00217	1289	ab14748	Set163	ATP5A	-0.4521162
AGID02145	2451	PA5-43776	Set163	ATP5H	0.01999944
AGID02150	2456	13934	Set163	ATR	0.02970143
AGID00315	1795	ab178407	Set163	ATR_pS428	-0.1044618
AGID00268	1569	ab97508	Set163	ATRX	-0.4254282
AGID00391	2332	14475	Set163	Aurora-A	0.03743447
AGID00392	2333	2914	Set163	Aurora-ABC_pT288_pT232_pT198	0.04453448
AGID02195	2512	MA5-27890	Set163	Aurora-B	0.02615816
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set163	b-Actin	0.2399642
AGID00179	1170	9565	Set163	b-Catenin_pT41_S45	-0.05655053
AGID00301	1725	14058	Set163	B7-H3	0.7139536
AGID00302	1726	14572	Set163	B7-H4	0.05213913
AGID00008	63	9291	Old	BAD_pS112	0.2903
AGID00009	71	1542-1/ab32371	Old	BAK	-0.72489
AGID00192	1207	sc-28383	Old	BAP1C4	-0.25511
AGID00010	73	2772	Old	BAX	-0.20394
AGID00433	80	M0887	Old	BCL2	0.64587
AGID00219	1299	PAB8528	Old	BCL2A1	0.14141
AGID00012	84	1018-1	Old	BCLXL	-0.30959
AGID00377	87	sc-10086	Old	BECLIN	0.054769
AGID00011	75	9562	Old	BETACATENIN	-1.6859
AGID00013	88	1008-1/ab32060	Old	BID	-0.23482
AGID00180	90	1036-1/ab32158	Old	BIM	0.48972
AGID00221	1311	610978	Set163	BiP-GRP78	0.1198489
AGID00373	2194	07-507	Set163	BMK1-Erk5_pT218_Y220	0.0164045
AGID00355	92	1647/ab33899	Old	BRAF	0.14499
AGID00014	94	2696	Old	BRAF_pS445	0.30595
AGID00445	761	9012	Old	BRCA2	-0.16278
AGID00266	1567	13440	Old	BRD4	0.077165
AGID00168	1146	2865	Set163	c-Abl_pY412	0.1328437
AGID00278	1615	3130	Set163	c-IAP2	-0.03168064
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.055981
AGID00429	2407	2679	Set163	Calnexin	0.0001742138
AGID00176	1165	9496	Set163	Caspase-8-cleaved	0.02967939
AGID00623	111	9665	Old	CASPASE3	-0.10123
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.71752
AGID00118	951	9746	Old	CASPASE8	-0.056589
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-0.11026
AGID00358	2100	ab76000	Set163	CD134	0.08453303
AGID00303	1737	826701	Set163	CD171	-0.3366656
AGID00410	125	1632-1/ab78237	Old	CD20	-0.17235
AGID00220	1308	ab28340	Old	CD26	0.10529
AGID00191	1206	610467	Set163	CD29	-0.07827588
AGID00017	127	M0823	Old	CD31	0.21008
AGID00369	2174	ab108403	Set163	CD38	0.009794478
AGID00359	2104	ab133616	Set163	CD4	-0.2100168
AGID00411	1398	3570	Set163	CD44	0.2677293
AGID00237	1352	M070101-2	Set163	CD45	-0.1109257
AGID00115	937	611016	Old	CD49B	0.01914
AGID02171	2482	91882	Set163	CD86	-0.3531355
AGID00329	1873	4688	Set163	cdc25C	0.3856995
AGID00227	1332	4651	Set163	Cdc42	0.01284425
AGID00422	2396	3387	Set163	Cdc6	-0.09201565
AGID00501	1007	9112	Old	CDK1	-0.19095
AGID00293	1658	ab32384	Set163	CDK1_pT14	0.07335447
AGID00314	1783	4539	Old	CDK1_pY15	-0.02182
AGID00423	2397	8064	Set163	CDT1	-0.06999098
AGID02101	2348	15102	Set163	cGAS	0.01976447
AGID00447	2410	13460	Set163	CHD1L	-0.3208774
AGID00189	1203	2360	Old	CHK1	-0.089773
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.21418
AGID00107	903	2348	Old	CHK1_pS345	0.012313
AGID00018	146	3440	Old	CHK2	0.068699
AGID00019	147	2197	Old	CHK2_pT68	0.1286
AGID00527	2078	4952	Old	CIAP	0.10554
AGID00350	2018	3793	Set163	CIITA	-0.04471553
AGID00434	155	9164	Old	CJUN_pS73	0.13753
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.10622
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.15172
AGID00466	726	3127	Old	CMET	-0.23697
AGID00079	727	3129	Old	CMET_pY1235	-0.19909
AGID00167	161	9402	Old	CMYC	0.29253
AGID00292	1656	11130-1-AP	Old	COG3	0.18503
AGID00021	171	sc-20649	Old	COLLAGENVI	0.53752
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set163	Connexin-43	0.3944042
AGID00269	1571	6434	Set163	Coup-TFII	-0.4723355
AGID00150	1116	4850	Set163	Cox-IV	-0.3515862
AGID00195	1218	4842	Set163	Cox2	-0.09509553
AGID00188	803	05-739	Old	CRAF	-0.15428
AGID00022	179	9427	Old	CRAF_pS338	-0.14892
AGID00023	181	9197	Set163	Creb	-0.1389767
AGID00393	2334	9198	Set163	CREB_pS133	0.1245766
AGID00365	2155	4980	Set163	CSK	0.07715443
AGID00367	2160	9201	Set163	CtIP	0.1714891
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set163	Cyclin-D3	-0.1703056
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.075216
AGID00382	194	sc-718	Old	CYCLIND1	0.0075266
AGID00437	199	sc-25303	Old	CYCLINE1	-0.63286
AGID00449	202	1142-1	Old	CYCLINE2	-0.31179
AGID00209	1257	ab110324	Set163	Cyclophilin-F	-0.09103582
AGID00247	1379	ab48389	Set163	D-a-Tubulin	-0.01927054
AGID00308	1770	GTX10524	Set163	DAPK1_pS308	-0.1957356
AGID00304	1744	ab51601	Set163	DAPK2	0.03435925
AGID00343	1980	6998	Set163	DDB-1	0.0680844
AGID00427	2402	5583	Set163	DDR1	-0.1670013
AGID00428	2403	SAB4504671	Set163	DDR1_pY513	0.04270445
AGID00532	1273	Bast Lab	Old	DIRAS3	0.11656
AGID00104	891	ab76008	Old	DJ1	0.52494
AGID02146	2452	4658	Set163	DM-Histone-H3	0.02613908
AGID00386	1397	ab32521	Set163	DM-K9-Histone-H3	-0.1358006
AGID00352	2030	14649	Set163	DNA-Ligase-IV	-0.02970078
AGID00407	2371	13609	Set163	DNA_POLG	-0.1953756
